<<<<<<< HEAD
"name,imageBase64,operating_system,main_purpose,architecture,price,voting,discussion_id,company_id"
"Intel i5 Processor,example,windows,business,Intel,300,5,0,0"
"Intel i5 Processor,example,mac,business,Intel,300,5,0,0"
"Intel i5 Processor,example,linux,business,Intel,300,5,0,0"
"Intel i7 Processor,example,windows,scientific,Intel,400,4,0,0"
"Intel i7 Processor,example,windows,gaming,Intel,400,3,0,0"
"Intel i7 Processor,example,mac,scientific,Intel,400,4,0,0"
"Intel i7 Processor,example,mac,gaming,Intel,400,3,0,0"
"Intel i7 Processor,example,linux,scientific,Intel,400,4,0,0"
"Intel i7 Processor,example,linux,gaming,Intel,400,3,0,0"
"Intel i9 Processor,example,windows,scientific,Intel,500,9,0,0"
"Intel i9 Processor,example,mac,scientific,Intel,500,9,0,0"
"Intel i9 Processor,example,linux,scientific,Intel,500,9,0,0"
"Intel i9 Processor,example,windows,gaming,Intel,500,8,0,0"
"Intel i9 Processor,example,mac,gaming,Intel,500,8,0,0"
"Intel i9 Processor,example,linux,gaming,Intel,500,8,0,0"
"AMD Ryzen 5 Processor,example,windows,business,AMD,350,5,0,0"
"AMD Ryzen 5 Processor,example,mac,business,AMD,350,1,0,0"
"AMD Ryzen 5 Processor,example,linux,business,AMD,350,5,0,0"
"AMD Ryzen 7 Processor,example,windows,scientific,AMD,450,4,0,0"
"AMD Ryzen 7 Processor,example,windows,gaming,AMD,450,3,0,0"
"AMD Ryzen 7 Processor,example,mac,scientific,AMD,450,2,0,0"
"AMD Ryzen 7 Processor,example,mac,gaming,AMD,450,1,0,0"
"AMD Ryzen 7 Processor,example,linux,scientific,AMD,450,5,0,0"
"AMD Ryzen 7 Processor,example,linux,gaming,AMD,450,3,0,0"
"AMD Ryzen 9 Processor,example,windows,scientific,AMD,550,8,0,0"
"AMD Ryzen 9 Processor,example,mac,scientific,AMD,550,6,0,0"
"AMD Ryzen 9 Processor,example,linux,scientific,AMD,550,9,0,0"
"AMD Ryzen 9 Processor,example,windows,gaming,AMD,550,8,0,0"
